Timestamp,Action,Ticket,Symbol,Side,Volume,Price,SL,TP,Comment,Status,Details
2025-12-05 21:03:30,PLACE,545840453,ETHUSD,sell,0.1,3022.75,0.0,0.0,TEST_SMA_SELL,SUCCESS,"OrderSendResult(retcode=10009, deal=542679759, order=545840453, volume=0.1, price=3022.92, bid=3022.92, ask=3027.82, comment='Request executed', request_id=3402006547, retcode_external=0, request=TradeRequest(action=1, magic=20240901, order=0, symbol='ETHUSD', volume=0.1, price=3022.75, stoplimit=0.0, sl=0.0, tp=0.0, deviation=20, type=1, type_filling=1, type_time=0, expiration=0, comment='TEST_SMA_SELL', position=0, position_by=0))"
2025-12-05 21:03:35,PLACE,545840456,ETHUSD,sell,0.1,3022.79,0.0,0.0,TEST_SMA_SELL,SUCCESS,"OrderSendResult(retcode=10009, deal=542679761, order=545840456, volume=0.1, price=3022.79, bid=3022.79, ask=3027.69, comment='Request executed', request_id=3402006548, retcode_external=0, request=TradeRequest(action=1, magic=20240901, order=0, symbol='ETHUSD', volume=0.1, price=3022.79, stoplimit=0.0, sl=0.0, tp=0.0, deviation=20, type=1, type_filling=1, type_time=0, expiration=0, comment='TEST_SMA_SELL', position=0, position_by=0))"
2025-12-05 21:03:40,PLACE,545840465,ETHUSD,sell,0.1,3022.15,0.0,0.0,TEST_SMA_SELL,SUCCESS,"OrderSendResult(retcode=10009, deal=542679770, order=545840465, volume=0.1, price=3022.15, bid=3022.15, ask=3027.05, comment='Request executed', request_id=3402006549, retcode_external=0, request=TradeRequest(action=1, magic=20240901, order=0, symbol='ETHUSD', volume=0.1, price=3022.15, stoplimit=0.0, sl=0.0, tp=0.0, deviation=20, type=1, type_filling=1, type_time=0, expiration=0, comment='TEST_SMA_SELL', position=0, position_by=0))"
2025-12-05 21:03:45,PLACE,545840467,ETHUSD,sell,0.1,3022.5,0.0,0.0,TEST_SMA_SELL,SUCCESS,"OrderSendResult(retcode=10009, deal=542679772, order=545840467, volume=0.1, price=3022.5, bid=3022.5, ask=3027.4, comment='Request executed', request_id=3402006550, retcode_external=0, request=TradeRequest(action=1, magic=20240901, order=0, symbol='ETHUSD', volume=0.1, price=3022.5, stoplimit=0.0, sl=0.0, tp=0.0, deviation=20, type=1, type_filling=1, type_time=0, expiration=0, comment='TEST_SMA_SELL', position=0, position_by=0))"
2025-12-05 21:03:50,PLACE,545840469,ETHUSD,sell,0.1,3022.28,0.0,0.0,TEST_SMA_SELL,SUCCESS,"OrderSendResult(retcode=10009, deal=542679774, order=545840469, volume=0.1, price=3022.28, bid=3022.28, ask=3027.18, comment='Request executed', request_id=3402006551, retcode_external=0, request=TradeRequest(action=1, magic=20240901, order=0, symbol='ETHUSD', volume=0.1, price=3022.28, stoplimit=0.0, sl=0.0, tp=0.0, deviation=20, type=1, type_filling=1, type_time=0, expiration=0, comment='TEST_SMA_SELL', position=0, position_by=0))"
2025-12-05 21:03:55,PLACE,545840470,ETHUSD,sell,0.1,3022.44,0.0,0.0,TEST_SMA_SELL,SUCCESS,"OrderSendResult(retcode=10009, deal=542679775, order=545840470, volume=0.1, price=3022.44, bid=3022.44, ask=3027.34, comment='Request executed', request_id=3402006552, retcode_external=0, request=TradeRequest(action=1, magic=20240901, order=0, symbol='ETHUSD', volume=0.1, price=3022.44, stoplimit=0.0, sl=0.0, tp=0.0, deviation=20, type=1, type_filling=1, type_time=0, expiration=0, comment='TEST_SMA_SELL', position=0, position_by=0))"
2025-12-05 21:04:00,PLACE,545840472,ETHUSD,sell,0.1,3022.44,0.0,0.0,TEST_SMA_SELL,SUCCESS,"OrderSendResult(retcode=10009, deal=542679777, order=545840472, volume=0.1, price=3022.44, bid=3022.44, ask=3027.34, comment='Request executed', request_id=3402006553, retcode_external=0, request=TradeRequest(action=1, magic=20240901, order=0, symbol='ETHUSD', volume=0.1, price=3022.44, stoplimit=0.0, sl=0.0, tp=0.0, deviation=20, type=1, type_filling=1, type_time=0, expiration=0, comment='TEST_SMA_SELL', position=0, position_by=0))"
2025-12-05 22:56:08,PLACE,545846760,ETHUSD,sell,0.1,3035.59,0.0,0.0,TEST_SMA_SELL,SUCCESS,"OrderSendResult(retcode=10009, deal=542686098, order=545846760, volume=0.1, price=3035.59, bid=3035.59, ask=3040.49, comment='Request executed', request_id=3402006559, retcode_external=0, request=TradeRequest(action=1, magic=20240901, order=0, symbol='ETHUSD', volume=0.1, price=3035.59, stoplimit=0.0, sl=0.0, tp=0.0, deviation=20, type=1, type_filling=1, type_time=0, expiration=0, comment='TEST_SMA_SELL', position=0, position_by=0))"
2025-12-05 22:56:13,PLACE,545846762,ETHUSD,sell,0.1,3035.59,0.0,0.0,TEST_SMA_SELL,SUCCESS,"OrderSendResult(retcode=10009, deal=542686100, order=545846762, volume=0.1, price=3035.59, bid=3035.59, ask=3040.49, comment='Request executed', request_id=3402006560, retcode_external=0, request=TradeRequest(action=1, magic=20240901, order=0, symbol='ETHUSD', volume=0.1, price=3035.59, stoplimit=0.0, sl=0.0, tp=0.0, deviation=20, type=1, type_filling=1, type_time=0, expiration=0, comment='TEST_SMA_SELL', position=0, position_by=0))"
2025-12-05 22:56:18,PLACE,545846768,ETHUSD,sell,0.1,3035.59,0.0,0.0,TEST_SMA_SELL,SUCCESS,"OrderSendResult(retcode=10009, deal=542686106, order=545846768, volume=0.1, price=3035.59, bid=3035.59, ask=3040.49, comment='Request executed', request_id=3402006561, retcode_external=0, request=TradeRequest(action=1, magic=20240901, order=0, symbol='ETHUSD', volume=0.1, price=3035.59, stoplimit=0.0, sl=0.0, tp=0.0, deviation=20, type=1, type_filling=1, type_time=0, expiration=0, comment='TEST_SMA_SELL', position=0, position_by=0))"
