time,open,high,low,close,tick_volume
2025-11-01 01:00:00,0.0,109534.55,109723.85,109448.25,4682273369568470630
2025-11-01 01:00:15,0.0,109675.95,109769.95,109548.25,4682269535021668762
2025-11-01 01:00:30,0.0,109617.65,109702.85,109587.95,4682267459693471334
2025-11-01 01:00:45,0.0,109591.15,109601.95,109529.75,4682264813993616998
2025-11-01 01:01:00,0.0,109546.25,109583.85,109509.65,4682261859056117350
2025-11-01 01:01:15,0.0,109509.65,109599.85,109509.65,4682267116096087654
2025-11-01 01:01:30,0.0,109586.15,109627.15,109487.85,4682269699948412928
2025-11-01 01:01:45,0.0,109623.75,109659.45,109571.75,4682266222742890086
2025-11-01 01:02:00,0.0,109576.45,109615.95,109379.75,4682257076180536525
2025-11-01 01:02:15,0.0,109433.45,109532.65,109355.75,4682261089397977907
2025-11-01 01:02:30,0.0,109498.45,109588.05,109398.35,4682267246663093453
2025-11-01 01:02:45,0.0,109582.95,109722.75,109582.95,4682274551543470490
2025-11-01 01:03:00,0.0,109694.35,109863.75,109686.85,4682277334682278298
2025-11-01 01:03:15,0.0,109734.85,109899.85,109668.75,4682288673395939738
2025-11-01 01:03:30,0.0,109899.85,110021.1,109748.15,4682281018046231347
2025-11-01 01:03:45,0.0,109794.75,109823.45,109697.05,4682274737086057677
2025-11-01 01:04:00,0.0,109694.45,109725.15,109492.05,4682268229351610778
2025-11-01 01:04:15,0.0,109602.35,109757.65,109602.35,4682269143320651366
2025-11-01 01:04:30,0.0,109615.65,109637.15,109443.35,4682266573212221440
2025-11-01 01:04:45,0.0,109583.45,109838.05,109583.45,4682278406706115379
2025-11-01 01:05:00,0.0,109750.45,109912.25,109750.45,4682286646171376026
2025-11-01 01:05:15,0.0,109870.35,110179.65,109870.35,4682295297953497088
2025-11-01 01:05:30,0.0,110001.05,110248.15,109988.15,4682305612746955162
2025-11-01 01:05:45,0.0,110140.85,110280.35,110088.15,4682309639708291891
2025-11-01 01:06:00,0.0,110209.75,110534.55,110206.25,4682312154841140429
2025-11-01 01:06:15,0.0,110238.15,110335.65,110072.13,4682313439895355392
2025-11-01 01:06:30,0.0,110260.25,110353.95,110170.05,4682312931371227546
2025-11-01 01:06:45,0.0,110252.85,110317.15,110178.6,4682313494870936781
2025-11-01 01:07:00,0.0,110256.05,110300.35,110050.85,4682299744103641907
2025-11-01 01:07:15,0.0,110058.45,110154.85,110008.55,4682303606138234470
2025-11-01 01:07:30,0.0,110119.95,110358.85,110076.35,4682312924499279872
2025-11-01 01:07:45,0.0,110252.75,110252.75,110069.75,4682302595961926451
2025-11-01 01:08:00,0.0,110098.35,110136.25,109993.15,4682297620671810765
2025-11-01 01:08:15,0.0,110034.85,110040.75,109970.05,4682295263593758720
2025-11-01 01:08:30,0.0,109996.45,110141.85,109920.05,4682291319095794074
2025-11-01 01:08:45,0.0,109938.35,109977.75,109920.05,4682293476887363584
2025-11-01 01:09:00,0.0,109973.85,110096.75,109953.15,4682296335617595802
2025-11-01 01:09:15,0.0,110011.35,110165.95,110011.35,4682305324125152870
2025-11-01 01:09:30,0.0,110144.9,110217.15,110031.75,4682300101444920934
2025-11-01 01:09:45,0.0,110066.15,110066.15,109978.25,4682298252890996736
2025-11-01 01:10:00,0.0,110039.95,110128.95,110039.95,4682303633626025165
2025-11-01 01:10:30,0.0,110163.95,110178.95,110138.15,4682305049247245926
2025-11-01 01:10:45,0.0,110138.15,110237.85,110138.15,4682309921458146509
2025-11-01 01:11:00,0.0,110209.05,110209.05,110130.65,4682309715299716301
2025-11-01 01:11:15,0.0,110206.05,110222.25,110095.85,4682306052551606272
2025-11-01 01:11:30,0.0,110152.25,110152.25,109935.85,4682293126418032230
2025-11-01 01:11:45,0.0,109964.65,110088.05,109934.85,4682292872155968307
2025-11-01 01:12:00,0.0,109965.05,110065.15,109808.85,4682286213238672589
2025-11-01 01:12:15,0.0,109865.95,109991.95,109865.95,4682293449399572890
2025-11-01 01:12:30,0.0,109969.35,110044.65,109942.95,4682298623976171110
2025-11-01 01:12:45,0.0,110044.65,110139.35,110034.05,4682303812296664678
2025-11-01 01:13:00,0.0,110125.65,110189.95,110125.65,4682306135014978355
2025-11-01 01:13:15,0.0,110153.95,110159.95,110015.15,4682296596751607398
2025-11-01 01:13:30,0.0,110015.15,110066.15,109959.15,4682300039597391872
2025-11-01 01:13:45,0.0,110065.25,110159.35,110044.35,4682302671553350861
2025-11-01 01:14:00,0.0,110108.95,110169.95,110067.25,4682300177036345344
2025-11-01 01:14:15,0.0,110067.25,110092.05,109969.85,4682299283683147776
2025-11-01 01:14:30,0.0,110054.25,110126.55,110049.25,4682303935991722803
2025-11-01 01:14:45,0.0,110112.15,110112.15,109985.95,4682294590142886707
2025-11-01 01:15:00,0.0,109985.95,110005.95,109924.35,4682290899906985984
2025-11-01 01:15:15,0.0,109932.25,109985.35,109932.25,4682294081618758861
2025-11-01 01:15:30,0.0,109978.55,110027.65,109685.85,4682278509785330483
2025-11-01 01:15:45,0.0,109755.25,109958.95,109755.25,4682289594236928000
2025-11-01 01:16:00,0.0,109910.35,109967.15,109688.25,4682275630439255245
2025-11-01 01:16:15,0.0,109703.45,109858.35,109693.55,4682285821537655194
2025-11-01 01:16:30,0.0,109858.35,109930.35,109836.95,4682289346846811750
2025-11-01 01:16:45,0.0,109909.65,109911.45,109862.85,4682289367462654771
2025-11-01 01:17:00,0.0,109909.95,110332.95,109883.95,4682307117703495680
2025-11-01 01:17:15,0.0,110168.5,110236.55,109957.75,4682298156683729306
2025-11-01 01:17:30,0.0,110030.85,110129.85,109982.35,4682298754543176909
2025-11-01 01:17:45,0.0,110046.55,110282.95,110038.35,4682314999827477299
2025-11-01 01:18:00,0.0,110282.05,110430.35,110170.05,4682307241398553805
2025-11-01 01:18:15,0.0,110172.05,110275.15,110166.55,4682307262014396826
2025-11-01 01:18:30,0.0,110175.85,110417.95,110175.85,4682324276956836659
2025-11-01 01:18:45,0.0,110414.8,110502.95,110357.65,4682325610114685338
2025-11-01 01:19:00,0.0,110435.95,110467.65,110244.65,4682317810454075802
2025-11-01 01:19:15,0.0,110323.85,110343.35,110175.75,4682308210343175782
2025-11-01 01:19:30,0.0,110186.75,110315.45,110174.65,4682313302456401920
2025-11-01 01:19:45,0.0,110253.75,110309.35,110154.35,4682307674331257242
2025-11-01 01:20:00,0.0,110170.05,110276.45,110158.65,4682312147969192755
2025-11-01 01:20:15,0.0,110241.45,110311.45,110212.95,4682310691116285952
2025-11-01 01:20:30,0.0,110219.65,110239.25,110183.75,4682310471213960397
2025-11-01 01:20:45,0.0,110217.05,110334.05,110217.05,4682316092467157402
2025-11-01 01:21:00,0.0,110296.15,110296.15,110180.75,4682309193031693107
2025-11-01 01:21:15,0.0,110202.05,110265.75,110199.05,4682311419542739354
2025-11-01 01:21:30,0.0,110230.85,110249.95,110192.45,4682312732084745011
2025-11-01 01:21:45,0.0,110248.65,110287.65,110229.15,4682313666669628621
2025-11-01 01:22:00,0.0,110263.55,110349.45,110262.05,4682316717814395699
2025-11-01 01:22:15,0.0,110307.85,110451.25,110289.95,4682324208237359923
2025-11-01 01:22:30,0.0,110413.45,110480.85,110359.15,4682323576018173952
2025-11-01 01:22:45,0.0,110407.75,110427.25,110326.75,4682321349507127706
2025-11-01 01:23:00,0.0,110380.25,110402.15,110170.05,4682308141623699046
2025-11-01 01:23:15,0.0,110192.65,110354.95,110192.65,4682318593856110592
2025-11-01 01:23:30,0.0,110331.15,110331.15,110130.95,4682307804898263040
2025-11-01 01:23:45,0.0,110178.25,110178.25,109826.85,4682283986727626342
2025-11-01 02:00:00,0.0,109832.45,110022.25,109832.45,4682290473846230221
2025-11-01 02:00:15,0.0,109921.35,110010.25,109918.25,4682293421911782195
