<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
4294967295.2025.11	08:00:00	0.00	103860.95	104053.75	103605.45	4681859211026078106	510	0
4294967295.2025.11	08:00:15	0.00	103655.85	103975.75	103655.85	4681876198480727245	422	0
4294967295.2025.11	08:00:30	0.00	103894.65	103894.65	103662.95	4681860901525205811	231	0
4294967295.2025.11	08:00:45	0.00	103674.95	103859.65	103563.75	4681855225296427418	285	0
4294967295.2025.11	08:01:00	0.00	103595.95	103741.15	103465.35	4681852510877096346	374	0
4294967295.2025.11	08:01:15	0.00	103554.05	103650.35	103382.95	4681841055340324454	282	0
4294967295.2025.11	08:01:30	0.00	103390.75	103599.95	103380.45	4681841515760818586	313	0
4294967295.2025.11	08:01:45	0.00	103392.85	103526.55	103295.35	4681836183129423872	301	0
4294967295.2025.11	08:02:00	0.00	103315.25	103357.55	103090.05	4681834403294976410	448	0
4294967295.2025.11	08:02:15	0.00	103291.00	103389.95	103019.65	4681818384784949248	452	0
4294967295.2025.11	08:02:30	0.00	103050.15	103094.05	102506.95	4681804682121288090	785	0
4294967295.2025.11	08:02:45	0.00	102851.55	103157.45	102613.65	4681792374463004672	640	0
4294967295.2025.11	08:03:00	0.00	102676.75	103091.15	102624.75	4681805877840183296	752	0
4294967295.2025.11	08:03:15	0.00	102870.65	103052.95	102851.15	4681810633227973427	421	0
4294967295.2025.11	08:03:30	0.00	102940.55	103212.05	102805.75	4681814708292943872	461	0
4294967295.2025.11	08:03:45	0.00	103002.75	103092.95	102932.65	4681812488653845299	317	0
4294967295.2025.11	08:04:00	0.00	102970.45	103135.45	102881.95	4681819910357332787	330	0
4294967295.2025.11	08:04:15	0.00	103075.85	103286.25	103025.25	4681829366157331661	476	0
4294967295.2025.11	08:04:30	0.00	103216.05	103310.55	103105.45	4681821765783204659	344	0
4294967295.2025.11	08:04:45	0.00	103105.55	103138.85	102727.25	4681801844006898893	454	0
4294967295.2025.11	08:05:00	0.00	102811.75	103163.65	102804.15	4681818206114309734	344	0
4294967295.2025.11	08:05:15	0.00	103053.65	103269.95	103045.45	4681819113211402650	357	0
4294967295.2025.11	08:05:30	0.00	103060.75	103105.05	102641.95	4681793096017510400	459	0
4294967295.2025.11	08:05:45	0.00	102698.25	102759.85	102552.55	4681783770784517325	387	0
4294967295.2025.11	08:06:00	0.00	102555.85	102712.85	102555.85	4681788801050214400	396	0
4294967295.2025.11	08:06:15	0.00	102623.85	102690.05	102430.05	4681775868044692685	381	0
4294967295.2025.11	08:06:30	0.00	102434.15	102740.55	102375.25	4681796477015765811	505	0
4294967295.2025.11	08:06:45	0.00	102734.15	102817.85	102442.45	4681782368907191910	408	0
4294967295.2025.11	08:07:00	0.00	102529.45	102710.85	102457.55	4681780967029866496	393	0
4294967295.2025.11	08:07:15	0.00	102511.75	102597.85	102437.65	4681778238866640077	372	0
4294967295.2025.11	08:07:30	0.00	102472.05	102587.65	102392.85	4681774857868384666	323	0
4294967295.2025.11	08:07:45	0.00	102430.65	102539.35	102237.35	4681764570562717286	311	0
4294967295.2025.11	08:08:00	0.00	102273.55	102339.85	102057.15	4681750469326091059	586	0
4294967295.2025.11	08:08:15	0.00	102067.25	102412.25	102067.25	4681766680250653082	508	0
4294967295.2025.11	08:08:30	0.00	102308.45	102487.15	102292.15	4681771037065478144	330	0
4294967295.2025.11	08:08:45	0.00	102367.25	102445.25	102170.05	4681758571352398234	292	0
4294967295.2025.11	08:09:00	0.00	102185.85	102275.95	102132.65	4681763003758647706	264	0
4294967295.2025.11	08:09:15	0.00	102256.55	102352.85	101880.05	4681749541613155123	483	0
4294967295.2025.11	08:09:30	0.00	102056.95	102241.95	101980.15	4681760949046293299	407	0
4294967295.2025.11	08:09:45	0.00	102220.45	102369.95	102212.95	4681767106311408845	209	0
4294967295.2025.11	08:10:00	0.00	102310.05	102361.05	102264.85	4681766233574054298	105	0
4294967295.2025.11	08:10:30	0.00	102424.75	102659.10	102413.85	4681785042094836941	257	0
4294967295.2025.11	08:10:45	0.00	102565.45	102570.95	102400.35	4681773311680158106	252	0
4294967295.2025.11	08:11:00	0.00	102400.15	102400.15	102215.15	4681762749496583782	200	0
4294967295.2025.11	08:11:15	0.00	102246.65	102492.05	102192.05	4681776720166204211	263	0
4294967295.2025.11	08:11:30	0.00	102443.35	102572.95	102421.15	4681780644048325837	228	0
4294967295.2025.11	08:11:45	0.00	102502.85	102516.75	102270.05	4681770418590187520	265	0
4294967295.2025.11	08:12:00	0.00	102358.25	102358.25	102263.95	4681768329518094746	184	0
4294967295.2025.11	08:12:15	0.00	102325.15	102498.25	102301.25	4681779901877977088	246	0
4294967295.2025.11	08:12:30	0.00	102496.25	102546.45	102403.25	4681777386745128550	152	0
4294967295.2025.11	08:12:45	0.00	102459.95	102546.45	102446.45	4681776479648035635	169	0
4294967295.2025.11	08:13:00	0.00	102446.45	102592.05	102411.45	4681786134734517043	159	0
4294967295.2025.11	08:13:15	0.00	102586.95	102604.15	102426.25	4681778843598035354	225	0
4294967295.2025.11	08:13:30	0.00	102480.85	102480.85	101918.75	4681745191670277734	401	0
4294967295.2025.11	08:13:45	0.00	101989.15	102057.95	101684.85	4681733777365191885	799	0
4294967295.2025.11	08:14:00	0.00	101823.05	102033.25	101701.85	4681726444997024154	546	0
4294967295.2025.11	08:14:15	0.00	101719.05	102030.05	101719.05	4681743446195568640	463	0
4294967295.2025.11	08:14:30	0.00	101965.75	102069.45	101864.35	4681736478040627610	279	0
4294967295.2025.11	08:14:45	0.00	101860.05	102074.55	101853.05	4681747610595858842	261	0
4294967295.2025.11	08:15:00	0.00	102029.15	102054.25	101695.05	4681742367299783885	469	0
4294967295.2025.11	08:15:15	0.00	101950.40	102139.95	101835.75	4681751046569695642	385	0
4294967295.2025.11	08:15:30	0.00	102076.35	102157.15	101887.75	4681742360427836211	556	0
4294967295.2025.11	08:15:45	0.00	101949.95	101969.45	101760.25	4681730657500948070	359	0
4294967295.2025.11	08:16:00	0.00	101779.65	101845.55	101553.15	4681718480409670451	666	0
4294967295.2025.11	08:16:15	0.00	101599.15	101719.95	101428.45	4681723922992227942	591	0
4294967295.2025.11	08:16:30	0.00	101681.65	102034.25	101681.65	4681738883222313370	466	0
4294967295.2025.11	08:16:45	0.00	101900.50	102057.95	101780.45	4681732251792808346	420	0
4294967295.2025.11	08:17:00	0.00	101808.25	101912.85	101733.85	4681734114090627891	319	0
4294967295.2025.11	08:17:15	0.00	101834.65	101929.05	101488.05	4681716322618100941	485	0
4294967295.2025.11	08:17:30	0.00	101571.05	101634.55	101464.95	4681714597759234867	446	0
4294967295.2025.11	08:17:45	0.00	101547.95	101709.85	101519.25	4681724575827256934	360	0
4294967295.2025.11	08:18:00	0.00	101691.15	101912.35	101494.25	4681738553368825037	565	0
4294967295.2025.11	08:18:15	0.00	101901.15	101937.95	101674.55	4681733399408069837	478	0
4294967295.2025.11	08:18:30	0.00	101815.35	101910.45	101714.45	4681726176991064883	405	0
4294967295.2025.11	08:18:45	0.00	101714.45	101833.35	101654.65	4681733516231180288	412	0
4294967295.2025.11	08:19:00	0.00	101821.25	101841.35	101550.20	4681719476842083123	400	0
4294967295.2025.11	08:19:15	0.00	101616.95	101857.15	101616.95	4681730135232924877	412	0
4294967295.2025.11	08:19:30	0.00	101772.05	101936.85	101742.95	4681736265010249728	260	0
4294967295.2025.11	08:19:45	0.00	101858.15	101981.35	101787.25	4681743508043097702	274	0
4294967295.2025.11	08:20:00	0.00	101963.85	101999.85	101867.05	4681743233165190758	202	0
4294967295.2025.11	08:20:15	0.00	101962.65	101983.25	101793.05	4681744318932923187	295	0
4294967295.2025.11	08:20:30	0.00	101979.65	102085.35	101874.15	4681746895913300787	355	0
4294967295.2025.11	08:20:45	0.00	102015.95	102198.35	101968.75	4681753121897893069	228	0
4294967295.2025.11	08:21:00	0.00	102106.55	102159.95	102085.25	4681752633989608243	192	0
4294967295.2025.11	08:21:15	0.00	102099.45	102109.95	101486.65	4681730128360977203	431	0
4294967295.2025.11	08:21:30	0.00	101773.15	101992.15	101746.65	4681740312587429478	307	0
4294967295.2025.11	08:21:45	0.00	101924.85	101968.35	101830.05	4681743040750655898	193	0
4294967295.2025.11	08:22:00	0.00	101958.45	102067.15	101915.85	4681741831287865344	234	0
4294967295.2025.11	08:22:15	0.00	101942.25	102089.35	101942.25	4681751699404724634	199	0
4294967295.2025.11	08:22:30	0.00	102085.05	102112.15	102046.15	4681752908867515187	172	0
4294967295.2025.11	08:22:45	0.00	102103.45	102152.75	101985.95	4681748778826963354	215	0
4294967295.2025.11	08:23:00	0.00	102038.05	102121.75	101995.35	4681746730986556621	178	0
4294967295.2025.11	08:23:15	0.00	102015.15	102074.05	102007.25	4681749857722748109	153	0
4294967295.2025.11	08:23:30	0.00	102061.45	102304.95	102061.45	4681766755842077491	246	0
4294967295.2025.11	08:23:45	0.00	102303.30	102344.45	102176.25	4681762962526961664	243	0
4294967295.2025.11	09:00:00	0.00	102249.75	102349.35	102144.05	4681769806986844570	178	0
4294967295.2025.11	09:00:15	0.00	102349.85	102349.95	102193.05	4681766185470420582	201	0
4294967295.2025.11	09:00:30	0.00	102298.75	102298.75	102193.85	4681760921558502605	82	0
4294967295.2025.11	09:00:45	0.00	102220.05	102402.15	102208.25	4681769703907629466	147	0
4294967295.2025.11	09:01:00	0.00	102347.85	102399.15	102296.05	4681770102480594534	179	0
4294967295.2025.11	09:01:15	0.00	102350.35	102430.75	102344.05	4681775400752250880	113	0
4294967295.2025.11	09:01:30	0.00	102432.85	102463.15	102296.85	4681769951297745715	142	0
4294967295.2025.11	09:01:45	0.00	102351.45	102351.45	102253.95	4681765745665769472	152	0
4294967295.2025.11	09:02:00	0.00	102290.25	102316.15	102030.05	4681747864857922765	236	0
4294967295.2025.11	09:02:15	0.00	102033.65	102044.85	101598.45	4681728637148332032	500	0
4294967295.2025.11	09:02:30	0.00	101750.25	102045.65	101750.25	4681745535267661414	252	0
4294967295.2025.11	09:02:45	0.00	101996.15	101996.15	101698.15	4681729990922023731	223	0
4294967295.2025.11	09:03:00	0.00	101769.95	101969.95	101743.15	4681741446458795622	269	0
4294967295.2025.11	09:03:15	0.00	101939.35	101986.05	101714.35	4681733825468825600	184	0
4294967295.2025.11	09:03:30	0.00	101838.10	101972.75	101659.65	4681743927231905792	267	0
4294967295.2025.11	09:03:45	0.00	101975.95	102089.55	101953.75	4681747342589899571	324	0
4294967295.2025.11	09:04:00	0.00	102017.80	102017.80	101788.25	4681736093211557888	184	0
4294967295.2025.11	09:04:15	0.00	101860.85	101970.55	101792.35	4681737495088883302	205	0
4294967295.2025.11	09:04:30	0.00	101879.15	101879.15	101728.55	4681730066513448141	385	0
4294967295.2025.11	09:04:45	0.00	101771.05	101889.95	101554.55	4681718686568100659	375	0
4294967295.2025.11	09:05:00	0.00	101609.45	101790.65	101510.15	4681723813041065165	364	0
4294967295.2025.11	09:05:15	0.00	101677.25	101783.25	101393.45	4681710350895572582	424	0
4294967295.2025.11	09:05:30	0.00	101486.15	101718.05	101446.60	4681719140116647117	403	0
4294967295.2025.11	09:05:45	0.00	101610.75	101709.95	101504.65	4681720713792664371	316	0
4294967295.2025.11	09:06:00	0.00	101634.95	101795.35	101605.05	4681731640189465395	275	0
4294967295.2025.11	09:06:15	0.00	101795.65	102110.75	101782.85	4681748716979434291	349	0
4294967295.2025.11	09:06:30	0.00	102043.35	102069.95	101822.65	4681735440376528896	266	0
4294967295.2025.11	09:06:45	0.00	101849.25	101874.25	101680.05	4681724651418681344	199	0
4294967295.2025.11	09:07:00	0.00	101692.25	101769.95	101651.15	4681729633580744704	210	0
4294967295.2025.11	09:07:15	0.00	101764.75	101954.75	101739.25	4681742690281324544	318	0
4294967295.2025.11	09:07:30	0.00	101954.75	102000.05	101697.45	4681730197080453939	321	0
4294967295.2025.11	09:07:45	0.00	101775.45	101900.15	101765.25	4681738938197894758	191	0
4294967295.2025.11	09:08:00	0.00	101909.25	101923.95	101777.45	4681735983260395110	204	0
4294967295.2025.11	09:08:15	0.00	101852.65	101911.15	101801.15	4681735749614174208	182	0
4294967295.2025.11	09:08:30	0.00	101852.15	101943.45	101773.55	4681739817807196979	272	0
4294967295.2025.11	09:08:45	0.00	101916.75	101940.65	101658.85	4681726293814175334	371	0
4294967295.2025.11	09:09:00	0.00	101716.15	101863.65	101644.45	4681729612964901683	349	0
4294967295.2025.11	09:09:15	0.00	101763.05	101807.05	101697.45	4681728712739756442	227	0
4294967295.2025.11	09:09:30	0.00	101750.15	101881.25	101731.25	4681734072858941850	283	0
4294967295.2025.11	09:09:45	0.00	101830.45	101939.75	101820.05	4681739859038883021	289	0
4294967295.2025.11	09:10:00	0.00	101913.55	101949.80	101841.25	4681741549538010726	286	0
4294967295.2025.11	09:10:15	0.00	101936.65	102010.35	101782.55	4681739646008505139	235	0
4294967295.2025.11	09:10:30	0.00	101910.45	102026.25	101818.25	4681738683935830835	278	0
4294967295.2025.11	09:10:45	0.00	101896.45	101953.65	101837.35	4681742614689900134	165	0
4294967295.2025.11	09:11:00	0.00	101962.25	102091.55	101931.35	4681746813449928704	243	0
4294967295.2025.11	09:11:15	0.00	102021.35	102101.55	101845.25	4681741247172313088	278	0
4294967295.2025.11	09:11:30	0.00	101937.55	102013.35	101866.65	4681737591296150733	228	0
4294967295.2025.11	09:11:45	0.00	101880.55	101880.55	101587.75	4681719628024931942	334	0
4294967295.2025.11	09:12:00	0.00	101619.15	101633.35	101470.65	4681717339666356634	484	0
4294967295.2025.11	09:12:15	0.00	101585.85	101769.95	101478.05	4681727194039320576	352	0
4294967295.2025.11	09:12:30	0.00	101725.55	101737.15	101562.55	4681727221527111270	249	0
4294967295.2025.11	09:12:45	0.00	101729.65	101892.45	101729.65	4681735412888738202	228	0
4294967295.2025.11	09:13:00	0.00	101850.05	102176.55	101850.05	4681757293170130944	358	0
4294967295.2025.11	09:13:15	0.00	102167.25	102292.05	102084.25	4681752723324928000	398	0
4294967295.2025.11	09:13:30	0.00	102095.90	102164.85	102019.95	4681755465232049766	319	0
4294967295.2025.11	09:13:45	0.00	102144.25	102285.45	102135.25	4681760873454868890	288	0
4294967295.2025.11	09:14:00	0.00	102222.85	102252.15	102081.35	4681760406162427085	340	0
4294967295.2025.11	09:14:15	0.00	102214.05	102408.85	102120.05	4681757382505450701	504	0
4294967295.2025.11	09:14:30	0.00	102168.55	102259.25	102070.25	4681753733501236019	307	0
4294967295.2025.11	09:14:45	0.00	102115.45	102171.25	102019.35	4681749919570277171	203	0
4294967295.2025.11	09:15:00	0.00	102059.95	102403.25	102045.05	4681768879273908634	348	0
4294967295.2025.11	09:15:15	0.00	102335.85	102487.35	102294.15	4681779008524779520	393	0
4294967295.2025.11	09:15:30	0.00	102483.25	102772.75	102454.85	4681797954484515635	663	0
4294967295.2025.11	09:15:45	0.00	102759.85	102967.05	102642.45	4681807011711549440	532	0
4294967295.2025.11	09:16:00	0.00	102884.65	103175.45	102731.65	4681814969426955469	737	0
4294967295.2025.11	09:16:15	0.00	103005.05	103832.35	102899.95	4681871635507471974	1082	0
4294967295.2025.11	09:16:30	0.00	103856.95	104023.55	103202.45	4681837303256894669	1377	0
4294967295.2025.11	09:16:45	0.00	103333.15	103358.85	102881.95	4681815677237565850	894	0
4294967295.2025.11	09:17:00	0.00	103010.45	103460.65	102942.25	4681836856580295885	703	0
4294967295.2025.11	09:17:15	0.00	103325.05	103573.85	103319.95	4681853211815759053	556	0
4294967295.2025.11	09:17:30	0.00	103560.25	103877.65	103484.05	4681870371069100032	707	0
4294967295.2025.11	09:17:45	0.00	103812.75	104140.20	103669.95	4681864468066048410	812	0
4294967295.2025.11	09:18:00	0.00	103722.55	103834.45	103340.55	4681841254626806989	829	0
4294967295.2025.11	09:18:15	0.00	103387.65	103532.75	103313.05	4681846504794829619	557	0
4294967295.2025.11	09:18:30	0.00	103466.75	103503.45	103301.25	4681846814032474931	438	0
4294967295.2025.11	09:18:45	0.00	103469.95	103875.45	103468.95	4681870907081018573	520	0
4294967295.2025.11	09:19:00	0.00	103820.55	103944.25	103559.25	4681857053234508595	461	0
4294967295.2025.11	09:19:15	0.00	103618.95	103641.05	103301.85	4681854984778258842	406	0
4294967295.2025.11	09:19:30	0.00	103589.85	103789.35	103436.25	4681848518275497984	529	0
4294967295.2025.11	09:19:45	0.00	103496.85	103652.05	103487.95	4681856661533491200	282	0
4294967295.2025.11	09:20:00	0.00	103613.25	103735.35	103556.55	4681853734083782246	308	0
4294967295.2025.11	09:20:15	0.00	103565.25	103659.85	103482.65	4681854806107619328	305	0
4294967295.2025.11	09:20:30	0.00	103578.05	103803.15	103578.05	4681869711362123366	271	0
4294967295.2025.11	09:20:45	0.00	103803.15	104552.85	103792.35	4681917320215606067	874	0
4294967295.2025.11	09:21:00	0.00	104499.35	104649.15	104185.05	4681898236816916480	747	0
4294967295.2025.11	09:21:15	0.00	104218.25	104726.35	104135.15	4681932720250342605	558	0
4294967295.2025.11	09:21:30	0.00	104733.15	104791.05	104549.95	4681928342819674522	590	0
4294967295.2025.11	09:21:45	0.00	104656.15	104783.25	104613.65	4681937063321272320	445	0
4294967295.2025.11	09:22:00	0.00	104779.45	105042.35	104389.35	4681918529678396621	862	0
4294967295.2025.11	09:22:15	0.00	104513.55	104574.95	104379.55	4681915918338280653	479	0
4294967295.2025.11	09:22:30	0.00	104475.55	104669.25	104430.45	4681918673989297766	407	0
4294967295.2025.11	09:22:45	0.00	104514.45	104639.85	104490.95	4681924370833919181	313	0
4294967295.2025.11	09:23:00	0.00	104598.45	104618.15	104348.05	4681908008726508339	333	0
4294967295.2025.11	09:23:15	0.00	104360.45	104619.95	104360.45	4681925820814878310	287	0
4294967295.2025.11	09:23:30	0.00	104619.65	104823.85	104535.45	4681934816194383053	377	0
4294967295.2025.11	09:23:45	0.00	104750.55	104754.55	104290.05	4681917979922582733	531	0
4294967295.2025.11	10:00:00	0.00	104507.55	104589.95	104075.40	4681914626412118016	475	0
4294967295.2025.11	10:00:15	0.00	104459.05	104687.95	104310.05	4681904545264880845	431	0
4294967295.2025.11	10:00:30	0.00	104305.15	104435.25	104129.25	4681900112858631373	323	0
4294967295.2025.11	10:00:45	0.00	104243.65	104796.05	104240.65	4681931978079993856	488	0
4294967295.2025.11	10:01:00	0.00	104712.15	105463.35	104712.15	4681946587840747930	1302	0
4294967295.2025.11	10:01:15	0.00	104921.85	105069.95	104612.65	4681926721040023552	773	0
4294967295.2025.11	10:01:30	0.00	104636.85	104758.15	104510.75	4681921732006012518	666	0
4294967295.2025.11	10:01:45	0.00	104549.85	104740.25	104507.45	4681930974775633510	455	0
4294967295.2025.11	10:02:00	0.00	104688.25	105053.55	104235.45	4681952635154700698	1022	0
4294967295.2025.11	10:02:15	0.00	105012.45	105680.05	104912.55	4681985215058621235	1103	0
4294967295.2025.11	10:02:30	0.00	105479.35	106014.55	105446.95	4682021224064430899	1006	0
4294967295.2025.11	10:02:45	0.00	106010.55	106496.85	105928.95	4682039730219515904	1204	0
4294967295.2025.11	10:03:00	0.00	106271.85	106637.85	106083.35	4682040506749603021	1278	0
4294967295.2025.11	10:03:15	0.00	106283.65	106373.55	105998.05	4682023354368209715	1065	0
4294967295.2025.11	10:03:30	0.00	106030.25	106144.35	105745.05	4682006002700333875	738	0
4294967295.2025.11	10:03:45	0.00	105781.45	106106.85	105695.05	4681999721740160205	589	0
4294967295.2025.11	10:04:00	0.00	105694.30	105820.15	105570.05	4682008071156583629	577	0
4294967295.2025.11	10:04:15	0.00	105821.25	105948.65	105717.55	4682003308896845824	467	0
4294967295.2025.11	10:04:30	0.00	105749.35	105926.85	105645.45	4681997247838997709	580	0
4294967295.2025.11	10:04:45	0.00	105659.05	106032.65	105638.45	4682019238071553229	398	0
4294967295.2025.11	10:05:00	0.00	105975.05	106266.45	105814.35	4682011582721844838	742	0
4294967295.2025.11	10:05:15	0.00	105854.85	106030.95	105814.15	4682016049487832678	467	0
4294967295.2025.11	10:05:30	0.00	105932.65	106208.75	105848.75	4682031655680999424	544	0
4294967295.2025.11	10:05:45	0.00	106155.45	106192.55	105921.55	4682020557485506560	563	0
4294967295.2025.11	10:06:00	0.00	106007.65	106281.95	105998.25	4682028597664284672	472	0
4294967295.2025.11	10:06:15	0.00	106108.95	106108.95	105840.25	4682015018695681638	474	0
4294967295.2025.11	10:06:30	0.00	105914.10	105945.05	105820.05	4682013362556292301	371	0
4294967295.2025.11	10:06:45	0.00	105893.65	106251.55	105840.35	4682029491017482240	397	0
4294967295.2025.11	10:07:00	0.00	106128.25	106343.55	106092.75	4682043970211230515	350	0
4294967295.2025.11	10:07:15	0.00	106333.55	106455.95	106079.95	4682034665594080461	551	0
4294967295.2025.11	10:07:30	0.00	106200.15	106279.75	105964.55	4682029566608906650	532	0
4294967295.2025.11	10:07:45	0.00	106130.05	106165.55	106011.15	4682025725190157107	349	0
4294967295.2025.11	10:08:00	0.00	106072.05	106232.45	106023.65	4682033517978818970	435	0
4294967295.2025.11	10:08:15	0.00	106186.85	106281.45	105922.65	4682025883244953600	429	0
4294967295.2025.11	10:08:30	0.00	106073.65	106203.55	106048.25	4682032102357598208	377	0
4294967295.2025.11	10:08:45	0.00	106167.25	106280.85	106138.65	4682033531722714317	351	0
4294967295.2025.11	10:09:00	0.00	106188.25	106509.75	106122.85	4682054965327508275	471	0
4294967295.2025.11	10:09:15	0.00	106494.45	106507.75	106272.35	4682041778059922637	371	0
4294967295.2025.11	10:09:30	0.00	106308.15	106416.65	106204.25	4682042520230271386	328	0
4294967295.2025.11	10:09:45	0.00	106315.95	106447.45	106305.45	4682051185756287795	271	0
4294967295.2025.11	10:10:00	0.00	106440.65	106533.85	106220.15	4682036809641754624	447	0
4294967295.2025.11	10:10:15	0.00	106234.75	106300.95	106162.75	4682034871752510669	398	0
4294967295.2025.11	10:10:30	0.00	106205.55	106205.55	105862.00	4682014750689722368	496	0
4294967295.2025.11	10:10:45	0.00	105912.25	106001.05	105886.05	4682017100895826739	356	0
4294967295.2025.11	10:11:00	0.00	105947.15	106088.95	105887.65	4682015458500332749	385	0
4294967295.2025.11	10:11:15	0.00	105923.15	106412.85	105802.15	4682048155227363738	536	0
4294967295.2025.11	10:11:30	0.00	106403.35	106520.65	106303.05	4682053570322130534	588	0
4294967295.2025.11	10:11:45	0.00	106483.35	106580.15	106355.05	4682049522744950784	455	0
4294967295.2025.11	10:12:00	0.00	106420.65	106432.95	106246.05	4682037971000911462	294	0
4294967295.2025.11	10:12:15	0.00	106251.65	106364.85	106121.65	4682029930822133350	284	0
4294967295.2025.11	10:12:30	0.00	106134.65	106151.25	105982.85	4682022509118645862	285	0
4294967295.2025.11	10:12:45	0.00	106026.65	106155.45	105948.15	4682019052528966042	243	0
4294967295.2025.11	10:13:00	0.00	105976.35	106119.95	105930.35	4682022619069808640	283	0
4294967295.2025.11	10:13:15	0.00	106026.55	106238.55	105985.15	4682029923950185677	327	0
4294967295.2025.11	10:13:30	0.00	106141.35	106263.55	106119.05	4682037799202219622	242	0
4294967295.2025.11	10:13:45	0.00	106249.15	106289.95	106111.65	4682031105925185536	205	0
4294967295.2025.11	10:14:00	0.00	106144.75	106189.45	105822.45	4682018062968501043	510	0
4294967295.2025.11	10:14:15	0.00	105966.15	106031.15	105881.55	4682013355684344627	368	0
4294967295.2025.11	10:14:30	0.00	105890.95	106013.65	105854.25	4682014771305565389	373	0
4294967295.2025.11	10:14:45	0.00	105907.65	105951.45	105867.55	4682014441452077056	326	0
4294967295.2025.11	10:15:00	0.00	105909.25	106537.15	105890.95	4682036335477365146	705	0
4294967295.2025.11	10:15:15	0.00	106235.55	106323.35	106026.75	4682039510317190349	420	0
4294967295.2025.11	10:15:30	0.00	106274.05	106535.35	106274.05	4682047523008177766	495	0
4294967295.2025.11	10:15:45	0.00	106390.65	106569.95	106368.15	4682056243509775565	428	0
4294967295.2025.11	10:16:00	0.00	106517.45	106517.45	106157.45	4682036548507743027	517	0
4294967295.2025.11	10:16:15	0.00	106226.15	106347.45	106115.95	4682031387675040154	615	0
4294967295.2025.11	10:16:30	0.00	106158.65	106207.85	105553.95	4681994574651352678	1291	0
4294967295.2025.11	10:16:45	0.00	105623.75	105679.95	104658.15	4681942712062260019	1456	0
4294967295.2025.11	10:17:00	0.00	104855.45	105324.85	104768.55	4681949419083189453	1480	0
4294967295.2025.11	10:17:15	0.00	104970.85	105477.45	104930.35	4681983098498737766	1286	0
4294967295.2025.11	10:17:30	0.00	105454.85	105617.35	105210.85	4681977099288418714	968	0
4294967295.2025.11	10:17:45	0.00	105369.05	105387.55	104630.15	4681954593659787674	1087	0
4294967295.2025.11	10:18:00	0.00	105035.75	105331.95	104770.15	4681970804584349696	1190	0
4294967295.2025.11	10:18:15	0.00	105265.75	105316.75	104980.75	4681962427680135578	822	0
4294967295.2025.11	10:18:30	0.00	105148.40	105327.25	104884.85	4681948395162986086	911	0
4294967295.2025.11	10:18:45	0.00	104940.45	105254.45	104756.75	4681966612696268800	927	0
4294967295.2025.11	10:19:00	0.00	105208.25	105504.85	105155.25	4681970440371122995	642	0
4294967295.2025.11	10:19:15	0.00	105268.15	105442.25	105244.85	4681975030832168960	581	0
4294967295.2025.11	10:19:30	0.00	105339.95	105744.05	105336.85	4681997584564433715	550	0
4294967295.2025.11	10:19:45	0.00	105671.85	105946.95	105671.85	4682015300445536256	472	0
4294967295.2025.11	10:20:00	0.00	105932.05	106048.05	105668.65	4681998897106439373	552	0
4294967295.2025.11	10:20:15	0.00	105683.05	106043.45	105670.25	4682012111861815706	476	0
4294967295.2025.11	10:20:30	0.00	105877.75	105924.35	105772.65	4682010311411525222	412	0
4294967295.2025.11	10:20:45	0.00	105854.15	105937.25	105435.75	4681982651822138982	481	0
4294967295.2025.11	10:21:00	0.00	105440.55	105686.85	105371.15	4681994292901498061	576	0
4294967295.2025.11	10:21:15	0.00	105614.65	105744.95	105538.95	4681998917722282394	343	0
4294967295.2025.11	10:21:30	0.00	105679.75	105883.05	105422.55	4682004353432892211	524	0
4294967295.2025.11	10:21:45	0.00	105762.45	106017.35	105722.85	4682006236346554778	495	0
4294967295.2025.11	10:22:00	0.00	105786.85	106261.65	105766.75	4682034287636958413	507	0
4294967295.2025.11	10:22:15	0.00	106205.05	106217.35	105960.05	4682021011034053018	490	0
4294967295.2025.11	10:22:30	0.00	106006.25	106235.95	105897.55	4682035765105708237	362	0
4294967295.2025.11	10:22:45	0.00	106226.55	106242.65	105787.45	4682019334278820659	574	0
4294967295.2025.11	10:23:00	0.00	105975.75	105996.65	105481.15	4681991021854405427	615	0
4294967295.2025.11	10:23:15	0.00	105575.25	105684.55	105461.75	4681987558392777933	434	0
4294967295.2025.11	10:23:30	0.00	105518.05	105635.75	105400.85	4681984232370103910	357	0
4294967295.2025.11	10:23:45	0.00	105476.15	105612.25	105233.05	4681992794816905216	446	0
4294967295.2025.11	11:00:00	0.00	105585.45	105789.15	105320.05	4681980232896557875	326	0
4294967295.2025.11	11:00:15	0.00	105421.35	105632.55	105409.45	4681991798384492544	217	0
4294967295.2025.11	11:00:30	0.00	105579.75	105739.65	105562.25	4681994794553678234	167	0
4294967295.2025.11	11:00:45	0.00	105622.75	106105.55	105570.85	4682022392295535411	408	0
4294967295.2025.11	11:01:00	0.00	106038.55	106164.65	105939.45	4682026549823877939	430	0
4294967295.2025.11	11:01:15	0.00	106086.65	106248.95	106064.15	4682030734840011162	360	0
4294967295.2025.11	11:01:30	0.00	106149.65	106237.15	105943.55	4682032514674458624	393	0
4294967295.2025.11	11:01:45	0.00	106174.85	106243.45	105862.25	4682019698492047360	383	0
4294967295.2025.11	11:02:00	0.00	105985.75	106113.15	105770.05	4682011163533036749	572	0
